Time	Channel A	Channel B
(ms)	(V)	(V)

0.00000000	2.60242400	6.49083400
0.00200000	2.60242400	6.49083400
0.00400000	2.60242400	6.49083400
0.00600000	2.60242400	6.49083400
0.00800000	2.60242400	6.49083400
0.01000000	2.60242400	6.49083400
0.01200000	2.60242400	6.49083400
0.01400000	2.60242400	6.49083400
0.01600000	2.60242400	6.49083400
0.01800000	2.60242400	6.49083400
0.02000000	2.60242400	6.49083400
0.02200000	2.60242400	6.49083400
0.02400000	2.60242400	6.49083400
0.02600000	2.60242400	6.49083400
0.02800000	2.60242400	6.49083400
0.03000000	2.60242400	6.49083400
0.03200000	2.60242400	6.49083400
0.03400000	2.60242400	6.57726400
0.03600000	2.60242400	6.57726400
0.03800000	2.60242400	6.57726400
0.04000000	2.68916100	6.57726400
0.04200000	2.68916100	6.57726400
0.04400000	2.60242400	6.57726400
0.04600000	2.60242400	6.57726400
0.04800000	2.60242400	6.57726400
0.05000000	2.60242400	6.57726400
0.05200000	2.60242400	6.57726400
0.05400000	2.60242400	6.57726400
0.05600000	2.68916100	6.57726400
0.05800000	2.60242400	6.57726400
0.06000000	2.68916100	6.57726400
0.06200000	2.68916100	6.57726400
0.06400000	2.68916100	6.57726400
0.06600000	2.68916100	6.57726400
0.06800000	2.68916100	6.57726400
0.07000000	2.60242400	6.57726400
0.07200000	2.68916100	6.57726400
0.07400000	2.60242400	6.57726400
0.07600000	2.68916100	6.57726400
0.07800000	2.68916100	6.57726400
0.08000000	2.68916100	6.57726400
0.08200000	2.68916100	6.66369300
0.08400000	2.68916100	6.57726400
0.08600000	2.68916100	6.66369300
0.08800000	2.68916100	6.57726400
0.09000000	2.68916100	6.57726400
0.09200000	2.68916100	6.66369300
0.09400000	2.68916100	6.66369300
0.09600000	2.68916100	6.57726400
0.09800000	2.68916100	6.66369300
0.10000000	2.68916100	6.66369300
0.10200000	2.68916100	6.66369300
0.10400000	2.68916100	6.66369300
0.10600000	2.68916100	6.66369300
0.10800000	2.68916100	6.66369300
0.11000000	2.68916100	6.66369300
0.11200000	2.68916100	6.66369300
0.11400000	2.68916100	6.66369300
0.11600000	2.68916100	6.66369300
0.11800000	2.68916100	6.66369300
0.12000000	2.68916100	6.66369300
0.12200000	2.68916100	6.66369300
0.12400000	2.68916100	6.66369300
0.12600000	2.68916100	6.66369300
0.12800000	2.68916100	6.66369300
0.13000000	2.68916100	6.66369300
0.13200000	2.68916100	6.66369300
0.13400000	2.68916100	6.66369300
0.13600000	2.68916100	6.66369300
0.13800000	2.68916100	6.75043100
0.14000000	2.68916100	6.66369300
0.14200000	2.68916100	6.75043100
0.14400000	2.68916100	6.66369300
0.14600000	2.68916100	6.66369300
0.14800000	2.68916100	6.75043100
0.15000000	2.68916100	6.75043100
0.15200000	2.68916100	6.66369300
0.15400000	2.68916100	6.75043100
0.15600000	2.68916100	6.75043100
0.15800000	2.68916100	6.66369300
0.16000000	2.68916100	6.66369300
0.16200000	2.68916100	6.75043100
0.16400000	2.77589800	6.75043100
0.16600000	2.68916100	6.66369300
0.16800000	2.77589800	6.75043100
0.17000000	2.77589800	6.75043100
0.17200000	2.77589800	6.75043100
0.17400000	2.77589800	6.75043100
0.17600000	2.77589800	6.75043100
0.17800000	2.77589800	6.75043100
0.18000000	2.77589800	6.75043100
0.18200000	2.77589800	6.75043100
0.18400000	2.77589800	6.75043100
0.18600000	2.77589800	6.75043100
0.18800000	2.77589800	6.75043100
0.19000000	2.77589800	6.75043100
0.19200000	2.77589800	6.75043100
0.19400000	2.77589800	6.75043100
0.19600000	2.77589800	6.75043100
0.19800000	2.77589800	6.75043100
0.20000000	2.77589800	6.75043100
0.20200000	2.77589800	6.75043100
0.20400000	2.77589800	6.75043100
0.20600000	2.77589800	6.75043100
0.20800000	2.77589800	6.75043100
0.21000000	2.77589800	6.75043100
0.21200000	2.77589800	6.75043100
0.21400000	2.77589800	6.75043100
0.21600000	2.77589800	6.75043100
0.21800000	2.77589800	6.75043100
0.22000000	2.77589800	6.75043100
0.22200000	2.77589800	6.75043100
0.22400000	2.77589800	6.75043100
0.22600000	2.77589800	6.75043100
0.22800000	2.77589800	6.75043100
0.23000000	2.77589800	6.75043100
0.23200000	2.77589800	6.75043100
0.23400000	2.77589800	6.75043100
0.23600000	2.77589800	6.75043100
0.23800000	2.77589800	6.75043100
0.24000000	2.77589800	6.75043100
0.24200000	2.77589800	6.75043100
0.24400000	2.77589800	6.75043100
0.24600000	2.77589800	6.75043100
0.24800000	2.77589800	6.75043100
0.25000000	2.77589800	6.75043100
