Time	Channel A	Channel B
(ms)	(V)	(V)

0.30800000	7.28684800	7.01002700
0.31000000	7.20011100	7.01002700
0.31200000	7.28684800	7.01002700
0.31400000	7.20011100	7.01002700
0.31600000	7.20011100	7.09645700
0.31800000	7.20011100	7.01002700
0.32000000	7.20011100	7.09645700
0.32200000	7.20011100	7.09645700
0.32400000	7.20011100	7.09645700
0.32600000	7.20011100	7.09645700
0.32800000	7.20011100	7.09645700
0.33000000	7.20011100	7.09645700
0.33200000	7.20011100	7.09645700
0.33400000	7.20011100	7.09645700
0.33600000	7.20011100	7.09645700
0.33800000	7.20011100	7.09645700
0.34000000	7.20011100	7.09645700
0.34200000	7.20011100	7.09645700
0.34400000	7.11337300	7.09645700
0.34600000	7.20011100	7.09645700
0.34800000	7.11337300	7.09645700
0.35000000	7.20011100	7.09645700
0.35200000	7.11337300	7.09645700
0.35400000	7.11337300	7.09645700
0.35600000	7.20011100	7.09645700
0.35800000	7.11337300	7.09645700
0.36000000	7.11337300	7.09645700
0.36200000	7.11337300	7.09645700
0.36400000	7.11337300	7.09645700
0.36600000	7.11337300	7.09645700
0.36800000	7.11337300	7.09645700
0.37000000	7.11337300	7.09645700
0.37200000	7.11337300	7.09645700
0.37400000	7.11337300	7.18319400
0.37600000	7.11337300	7.18319400
0.37800000	7.11337300	7.18319400
0.38000000	7.11337300	7.09645700
0.38200000	7.11337300	7.09645700
0.38400000	7.11337300	7.18319400
0.38600000	7.11337300	7.18319400
0.38800000	7.11337300	7.18319400
0.39000000	7.11337300	7.18319400
0.39200000	7.11337300	7.18319400
0.39400000	7.02663600	7.18319400
0.39600000	7.11337300	7.18319400
0.39800000	7.11337300	7.18319400
0.40000000	7.02663600	7.18319400
0.40200000	7.11337300	7.18319400
0.40400000	7.02663600	7.18319400
0.40600000	7.02663600	7.18319400
0.40800000	7.11337300	7.18319400
0.41000000	7.11337300	7.18319400
0.41200000	7.02663600	7.18319400
0.41400000	7.11337300	7.18319400
0.41600000	7.02663600	7.18319400
0.41800000	7.02663600	7.18319400
0.42000000	7.11337300	7.18319400
0.42200000	7.02663600	7.26962300
0.42400000	7.02663600	7.18319400
0.42600000	7.02663600	7.18319400
0.42800000	7.02663600	7.26962300
0.43000000	7.02663600	7.18319400
0.43200000	7.02663600	7.26962300
0.43400000	7.02663600	7.18319400
0.43600000	7.02663600	7.18319400
0.43800000	7.02663600	7.26962300
0.44000000	7.02663600	7.26962300
0.44200000	7.02663600	7.26962300
0.44400000	7.02663600	7.26962300
0.44600000	6.93989900	7.26962300
0.44800000	7.02663600	7.26962300
0.45000000	7.02663600	7.26962300
0.45200000	7.02663600	7.26962300
0.45400000	7.02663600	7.26962300
0.45600000	7.02663600	7.26962300
0.45800000	6.93989900	7.26962300
0.46000000	7.02663600	7.26962300
0.46200000	6.93989900	7.26962300
0.46400000	6.93989900	7.26962300
0.46600000	6.93989900	7.26962300
0.46800000	6.93989900	7.26962300
0.47000000	6.93989900	7.26962300
0.47200000	6.93989900	7.26962300
0.47400000	6.93989900	7.26962300
0.47600000	6.93989900	7.26962300
0.47800000	6.93989900	7.26962300
0.48000000	6.93989900	7.26962300
0.48200000	6.93989900	7.26962300
0.48400000	6.93989900	7.26962300
0.48600000	6.93989900	7.26962300
0.48800000	6.93989900	7.26962300
0.49000000	6.93989900	7.26962300
0.49200000	6.93989900	7.26962300
0.49400000	6.93989900	7.26962300
0.49600000	6.93989900	7.35605300
0.49800000	6.93989900	7.26962300
0.50000000	6.85316200	7.35605300
0.50200000	6.93989900	7.26962300
0.50400000	6.93989900	7.35605300
0.50600000	6.93989900	7.35605300
0.50800000	6.85316200	7.35605300
0.51000000	6.93989900	7.26962300
0.51200000	6.85316200	7.35605300
0.51400000	6.93989900	7.35605300
0.51600000	6.85316200	7.35605300
0.51800000	6.85316200	7.35605300
0.52000000	6.85316200	7.35605300
0.52200000	6.85316200	7.35605300
0.52400000	6.85316200	7.35605300
0.52600000	6.85316200	7.35605300
0.52800000	6.85316200	7.35605300
0.53000000	6.85316200	7.35605300
0.53200000	6.85316200	7.35605300
0.53400000	6.85316200	7.35605300
0.53600000	6.85316200	7.35605300
0.53800000	6.85316200	7.35605300
0.54000000	6.85316200	7.35605300
0.54200000	6.85316200	7.35605300
0.54400000	6.85316200	7.35605300
0.54600000	6.85316200	7.35605300
0.54800000	6.85316200	7.35605300
0.55000000	6.85316200	7.35605300
0.55200000	6.85316200	7.35605300
0.55400000	6.85316200	7.35605300
0.55600000	6.85316200	7.35605300
0.55800000	6.76642500	7.35605300
0.56000000	6.85316200	7.35605300
0.56200000	6.85316200	7.35605300
0.56400000	6.85316200	7.35605300
0.56600000	6.76642500	7.35605300
0.56800000	6.76642500	7.35605300
0.57000000	6.85316200	7.35605300
0.57200000	6.85316200	7.35605300
0.57400000	6.76642500	7.35605300
0.57600000	6.76642500	7.35605300
0.57800000	6.76642500	7.44279100
0.58000000	6.76642500	7.44279100
0.58200000	6.76642500	7.35605300
0.58400000	6.76642500	7.44279100
0.58600000	6.76642500	7.35605300
0.58800000	6.76642500	7.35605300
0.59000000	6.76642500	7.35605300
0.59200000	6.76642500	7.35605300
0.59400000	6.76642500	7.44279100
0.59600000	6.76642500	7.44279100
0.59800000	6.76642500	7.44279100
0.60000000	6.76642500	7.44279100
0.60200000	6.76642500	7.44279100
0.60400000	6.76642500	7.35605300
0.60600000	6.67968800	7.44279100
0.60800000	6.76642500	7.44279100
0.61000000	6.76642500	7.44279100
0.61200000	6.67968800	7.35605300
0.61400000	6.76642500	7.44279100
0.61600000	6.76642500	7.44279100
0.61800000	6.76642500	7.44279100
0.62000000	6.76642500	7.44279100
0.62200000	6.76642500	7.44279100
0.62400000	6.76642500	7.44279100
0.62600000	6.67968800	7.44279100
0.62800000	6.67968800	7.44279100
0.63000000	6.67968800	7.44279100
0.63200000	6.67968800	7.44279100
0.63400000	6.67968800	7.44279100
0.63600000	6.67968800	7.44279100
0.63800000	6.67968800	7.44279100
0.64000000	6.67968800	7.44279100
0.64200000	6.67968800	7.44279100
0.64400000	6.67968800	7.44279100
0.64600000	6.67968800	7.44279100
0.64800000	6.67968800	7.44279100
0.65000000	6.67968800	7.44279100
0.65200000	6.67968800	7.44279100
0.65400000	6.67968800	7.44279100
0.65600000	6.67968800	7.44279100
0.65800000	6.67968800	7.44279100
0.66000000	6.67968800	7.44279100
0.66200000	6.67968800	7.44279100
0.66400000	6.67968800	7.44279100
0.66600000	6.67968800	7.44279100
0.66800000	6.59264300	7.44279100
0.67000000	6.67968800	7.44279100
0.67200000	6.67968800	7.44279100
0.67400000	6.59264300	7.44279100
0.67600000	6.67968800	7.44279100
0.67800000	6.59264300	7.44279100
0.68000000	6.59264300	7.44279100
0.68200000	6.59264300	7.44279100
0.68400000	6.67968800	7.44279100
0.68600000	6.59264300	7.44279100
0.68800000	6.59264300	7.44279100
0.69000000	6.59264300	7.44279100
0.69200000	6.59264300	7.44279100
0.69400000	6.59264300	7.44279100
0.69600000	6.59264300	7.44279100
0.69800000	6.59264300	7.44279100
0.70000000	6.59264300	7.44279100
0.70200000	6.59264300	7.44279100
0.70400000	6.59264300	7.44279100
0.70600000	6.59264300	7.44279100
0.70800000	6.59264300	7.44279100
0.71000000	6.59264300	7.44279100
0.71200000	6.50590600	7.44279100
0.71400000	6.59264300	7.44279100
0.71600000	6.59264300	7.44279100
0.71800000	6.59264300	7.44279100
0.72000000	6.59264300	7.44279100
0.72200000	6.59264300	7.44279100
0.72400000	6.59264300	7.44279100
0.72600000	6.59264300	7.44279100
0.72800000	6.50590600	7.44279100
0.73000000	6.59264300	7.44279100
0.73200000	6.59264300	7.44279100
0.73400000	6.59264300	7.52922000
0.73600000	6.50590600	7.44279100
0.73800000	6.50590600	7.44279100
0.74000000	6.50590600	7.44279100
0.74200000	6.50590600	7.44279100
0.74400000	6.50590600	7.44279100
0.74600000	6.50590600	7.44279100
0.74800000	6.50590600	7.44279100
0.75000000	6.50590600	7.44279100
0.75200000	6.50590600	7.44279100
0.75400000	6.50590600	7.44279100
0.75600000	6.50590600	7.44279100
0.75800000	6.50590600	7.44279100
0.76000000	6.50590600	7.44279100
0.76200000	6.50590600	7.44279100
0.76400000	6.50590600	7.44279100
0.76600000	6.50590600	7.44279100
0.76800000	6.50590600	7.44279100
0.77000000	6.50590600	7.44279100
0.77200000	6.50590600	7.44279100
0.77400000	6.50590600	7.44279100
0.77600000	6.50590600	7.44279100
0.77800000	6.50590600	7.44279100
0.78000000	6.50590600	7.44279100
0.78200000	6.50590600	7.44279100
0.78400000	6.50590600	7.44279100
0.78600000	6.41916800	7.44279100
0.78800000	6.41916800	7.44279100
0.79000000	6.41916800	7.44279100
0.79200000	6.41916800	7.44279100
0.79400000	6.41916800	7.44279100
0.79600000	6.41916800	7.44279100
0.79800000	6.41916800	7.44279100
0.80000000	6.41916800	7.44279100
0.80200000	6.41916800	7.44279100
0.80400000	6.41916800	7.44279100
0.80600000	6.41916800	7.44279100
0.80800000	6.41916800	7.44279100
0.81000000	6.41916800	7.44279100
0.81200000	6.41916800	7.44279100
0.81400000	6.41916800	7.44279100
0.81600000	6.41916800	7.44279100
0.81800000	6.41916800	7.44279100
0.82000000	6.41916800	7.44279100
0.82200000	6.41916800	7.44279100
0.82400000	6.41916800	7.35605300
0.82600000	6.41916800	7.44279100
0.82800000	6.41916800	7.44279100
0.83000000	6.41916800	7.44279100
0.83200000	6.41916800	7.44279100
0.83400000	6.33243100	7.35605300
0.83600000	6.41916800	7.44279100
0.83800000	6.33243100	7.44279100
0.84000000	6.33243100	7.35605300
0.84200000	6.33243100	7.44279100
0.84400000	6.33243100	7.35605300
0.84600000	6.33243100	7.44279100
0.84800000	6.33243100	7.35605300
0.85000000	6.33243100	7.35605300
0.85200000	6.33243100	7.35605300
0.85400000	6.33243100	7.35605300
0.85600000	6.33243100	7.35605300
0.85800000	6.33243100	7.35605300
0.86000000	6.33243100	7.35605300
0.86200000	6.33243100	7.35605300
0.86400000	6.33243100	7.35605300
0.86600000	6.33243100	7.35605300
0.86800000	6.33243100	7.35605300
0.87000000	6.33243100	7.35605300
0.87200000	6.33243100	7.35605300
0.87400000	6.33243100	7.35605300
0.87600000	6.33243100	7.35605300
0.87800000	6.33243100	7.35605300
0.88000000	6.33243100	7.35605300
0.88200000	6.33243100	7.35605300
0.88400000	6.33243100	7.35605300
0.88600000	6.33243100	7.35605300
0.88800000	6.24569400	7.35605300
0.89000000	6.33243100	7.35605300
0.89200000	6.33243100	7.35605300
0.89400000	6.24569400	7.35605300
0.89600000	6.24569400	7.35605300
0.89800000	6.24569400	7.35605300
0.90000000	6.33243100	7.35605300
0.90200000	6.24569400	7.35605300
0.90400000	6.24569400	7.35605300
0.90600000	6.24569400	7.26962300
0.90800000	6.24569400	7.35605300
0.91000000	6.24569400	7.26962300
0.91200000	6.24569400	7.35605300
0.91400000	6.24569400	7.26962300
0.91600000	6.24569400	7.26962300
0.91800000	6.24569400	7.26962300
0.92000000	6.24569400	7.35605300
0.92200000	6.24569400	7.26962300
0.92400000	6.24569400	7.26962300
0.92600000	6.24569400	7.26962300
0.92800000	6.24569400	7.26962300
0.93000000	6.24569400	7.26962300
0.93200000	6.24569400	7.26962300
0.93400000	6.24569400	7.26962300
0.93600000	6.24569400	7.26962300
0.93800000	6.15895700	7.26962300
0.94000000	6.24569400	7.26962300
0.94200000	6.15895700	7.26962300
0.94400000	6.24569400	7.26962300
0.94600000	6.15895700	7.26962300
0.94800000	6.24569400	7.26962300
0.95000000	6.15895700	7.18319400
0.95200000	6.24569400	7.18319400
0.95400000	6.24569400	7.18319400
0.95600000	6.15895700	7.18319400
0.95800000	6.15895700	7.18319400
0.96000000	6.15895700	7.26962300
0.96200000	6.15895700	7.18319400
0.96400000	6.15895700	7.18319400
0.96600000	6.15895700	7.18319400
0.96800000	6.15895700	7.18319400
0.97000000	6.15895700	7.18319400
0.97200000	6.15895700	7.18319400
0.97400000	6.15895700	7.18319400
0.97600000	6.07221900	7.18319400
0.97800000	6.15895700	7.18319400
0.98000000	6.15895700	7.18319400
0.98200000	6.15895700	7.18319400
0.98400000	6.15895700	7.09645700
0.98600000	6.15895700	7.09645700
0.98800000	6.15895700	7.09645700
