Time	Channel A
(s)	(V)

0.00000000	2.50999600
0.00005000	2.50999600
0.00010000	2.50999600
0.00015000	2.55659400
0.00020000	2.55659400
0.00025000	2.55659400
0.00030000	2.55659400
0.00035000	2.55659400
0.00040000	2.55659400
0.00045000	2.60303900
0.00050000	2.60303900
0.00055000	2.55659400
0.00060000	2.60303900
0.00065000	2.60303900
0.00070000	2.60303900
0.00075000	2.60303900
0.00080000	2.60303900
0.00085000	2.60303900
0.00090000	2.60303900
0.00095000	2.60303900
0.00100000	2.60303900
0.00105000	2.60303900
0.00110000	2.60303900
0.00115000	2.60303900
0.00120000	2.60303900
0.00125000	2.60303900
0.00130000	2.60303900
0.00135000	2.60303900
0.00140000	2.60303900
0.00145000	2.60303900
0.00150000	2.60303900
0.00155000	2.64948300
0.00160000	2.64948300
0.00165000	2.60303900
0.00170000	2.60303900
0.00175000	2.64948300
0.00180000	2.64948300
0.00185000	2.64948300
0.00190000	2.64948300
0.00195000	2.64948300
0.00200000	2.64948300
0.00205000	2.69592800
0.00210000	2.69592800
0.00215000	2.69592800
0.00220000	2.69592800
0.00225000	2.69592800
0.00230000	2.69592800
0.00235000	2.69592800
0.00240000	2.69592800
0.00245000	2.69592800
0.00250000	2.74252600
0.00255000	2.78897000
0.00260000	2.74252600
0.00265000	2.78897000
0.00270000	2.74252600
0.00275000	2.78897000
0.00280000	2.78897000
0.00285000	2.78897000
0.00290000	2.78897000
0.00295000	2.83541500
0.00300000	2.83541500
0.00305000	2.83541500
0.00310000	2.83541500
0.00315000	2.83541500
0.00320000	2.83541500
0.00325000	2.78897000
0.00330000	2.88185900
0.00335000	2.83541500
0.00340000	2.88185900
0.00345000	2.88185900
0.00350000	2.88185900
0.00355000	2.88185900
0.00360000	2.92845700
0.00365000	2.88185900
0.00370000	2.88185900
0.00375000	2.92845700
0.00380000	2.92845700
0.00385000	2.92845700
0.00390000	2.92845700
0.00395000	2.92845700
0.00400000	2.92845700
0.00405000	2.92845700
0.00410000	2.92845700
0.00415000	2.92845700
0.00420000	2.92845700
0.00425000	2.97490200
0.00430000	2.97490200
0.00435000	2.97490200
0.00440000	2.97490200
0.00445000	2.97490200
0.00450000	3.02134600
0.00455000	3.02134600
0.00460000	2.97490200
0.00465000	2.97490200
0.00470000	2.97490200
0.00475000	2.97490200
0.00480000	3.02134600
0.00485000	2.97490200
0.00490000	3.02134600
0.00495000	3.02134600
0.00500000	2.97490200
0.00505000	2.97490200
0.00510000	2.97490200
0.00515000	2.97490200
0.00520000	2.97490200
0.00525000	2.97490200
0.00530000	2.97490200
0.00535000	2.97490200
0.00540000	2.97490200
0.00545000	2.97490200
0.00550000	2.97490200
0.00555000	2.97490200
0.00560000	2.97490200
0.00565000	3.02134600
0.00570000	3.02134600
0.00575000	2.97490200
0.00580000	3.02134600
0.00585000	3.02134600
0.00590000	2.97490200
0.00595000	2.97490200
0.00600000	3.02134600
0.00605000	3.02134600
0.00610000	3.02134600
0.00615000	3.02134600
0.00620000	3.02134600
0.00625000	3.02134600
0.00630000	3.02134600
0.00635000	3.06794400
0.00640000	3.02134600
0.00645000	3.02134600
0.00650000	3.02134600
0.00655000	3.06794400
0.00660000	3.06794400
0.00665000	3.06794400
0.00670000	3.02134600
0.00675000	3.06794400
0.00680000	3.02134600
0.00685000	3.02134600
0.00690000	3.02134600
0.00695000	3.02134600
0.00700000	3.02134600
0.00705000	3.02134600
0.00710000	3.02134600
0.00715000	2.97490200
0.00720000	3.02134600
0.00725000	2.97490200
0.00730000	3.02134600
0.00735000	3.02134600
0.00740000	3.02134600
0.00745000	2.97490200
0.00750000	2.97490200
0.00755000	2.97490200
0.00760000	2.97490200
0.00765000	2.97490200
0.00770000	2.97490200
0.00775000	2.97490200
0.00780000	2.97490200
0.00785000	2.97490200
0.00790000	2.97490200
0.00795000	2.97490200
0.00800000	2.97490200
0.00805000	2.97490200
0.00810000	2.97490200
0.00815000	2.97490200
0.00820000	2.97490200
0.00825000	2.97490200
0.00830000	2.97490200
0.00835000	2.97490200
0.00840000	2.97490200
0.00845000	2.97490200
0.00850000	2.97490200
0.00855000	2.97490200
0.00860000	2.97490200
0.00865000	2.97490200
0.00870000	2.97490200
0.00875000	2.92845700
