Time	Channel A
(s)	(V)

0.00000000	8.27386800
0.00010000	8.27386800
0.00020000	8.27386800
0.00030000	8.27386800
0.00040000	8.27386800
0.00050000	8.27386800
0.00060000	8.18098000
0.00070000	8.18098000
0.00080000	8.18098000
0.00090000	8.18098000
0.00100000	8.18098000
0.00110000	8.18098000
0.00120000	8.18098000
0.00130000	8.18098000
0.00140000	8.18098000
0.00150000	8.08809100
0.00160000	8.08809100
0.00170000	8.08809100
0.00180000	8.08809100
0.00190000	8.08809100
0.00200000	8.08809100
0.00210000	8.08809100
0.00220000	8.08809100
0.00230000	8.08809100
0.00240000	8.08809100
0.00250000	8.08809100
0.00260000	8.08809100
0.00270000	8.08809100
0.00280000	8.08809100
0.00290000	8.08809100
0.00300000	8.08809100
0.00310000	8.08809100
0.00320000	8.08809100
0.00330000	7.99520200
0.00340000	8.08809100
0.00350000	7.99520200
0.00360000	7.99520200
0.00370000	7.99520200
0.00380000	7.99520200
0.00390000	7.90200500
0.00400000	7.90200500
0.00410000	7.90200500
0.00420000	7.90200500
0.00430000	7.90200500
0.00440000	7.90200500
0.00450000	7.90200500
0.00460000	7.90200500
0.00470000	7.90200500
0.00480000	7.80911700
0.00490000	7.80911700
0.00500000	7.90200500
0.00510000	7.90200500
0.00520000	7.90200500
0.00530000	7.80911700
0.00540000	7.90200500
0.00550000	7.80911700
0.00560000	7.80911700
0.00570000	7.80911700
0.00580000	7.80911700
0.00590000	7.80911700
0.00600000	7.71622800
0.00610000	7.71622800
0.00620000	7.71622800
0.00630000	7.71622800
0.00640000	7.71622800
0.00650000	7.62333900
0.00660000	7.62333900
0.00670000	7.62333900
0.00680000	7.62333900
0.00690000	7.62333900
0.00700000	7.53014300
0.00710000	7.53014300
0.00720000	7.53014300
0.00730000	7.53014300
0.00740000	7.53014300
0.00750000	7.53014300
0.00760000	7.53014300
0.00770000	7.53014300
0.00780000	7.53014300
0.00790000	7.53014300
0.00800000	7.53014300
0.00810000	7.53014300
0.00820000	7.53014300
0.00830000	7.53014300
0.00840000	7.43725400
0.00850000	7.43725400
0.00860000	7.43725400
0.00870000	7.43725400
0.00880000	7.34436500
0.00890000	7.34436500
0.00900000	7.34436500
0.00910000	7.34436500
0.00920000	7.25147600
0.00930000	7.25147600
0.00940000	7.25147600
0.00950000	7.25147600
0.00960000	7.25147600
0.00970000	7.15828000
0.00980000	7.25147600
0.00990000	7.15828000
0.01000000	7.15828000
0.01010000	7.15828000
0.01020000	7.15828000
0.01030000	7.15828000
0.01040000	7.15828000
0.01050000	7.15828000
0.01060000	7.15828000
0.01070000	7.15828000
0.01080000	7.15828000
0.01090000	7.15828000
0.01100000	7.06539100
0.01110000	7.06539100
0.01120000	7.06539100
0.01130000	7.06539100
0.01140000	7.06539100
0.01150000	6.97250200
0.01160000	6.97250200
0.01170000	6.97250200
0.01180000	6.97250200
0.01190000	6.87961400
0.01200000	6.87961400
0.01210000	6.87961400
0.01220000	6.87961400
0.01230000	6.87961400
0.01240000	6.87961400
0.01250000	6.87961400
0.01260000	6.78641700
0.01270000	6.87961400
0.01280000	6.87961400
0.01290000	6.87961400
0.01300000	6.87961400
0.01310000	6.78641700
0.01320000	6.87961400
0.01330000	6.78641700
0.01340000	6.78641700
0.01350000	6.78641700
0.01360000	6.78641700
0.01370000	6.78641700
0.01380000	6.78641700
0.01390000	6.69352900
0.01400000	6.69352900
0.01410000	6.69352900
0.01420000	6.69352900
0.01430000	6.60064000
0.01440000	6.60064000
0.01450000	6.60064000
0.01460000	6.60064000
0.01470000	6.50775100
0.01480000	6.60064000
0.01490000	6.50775100
0.01500000	6.50775100
0.01510000	6.50775100
0.01520000	6.50775100
0.01530000	6.50775100
0.01540000	6.50775100
0.01550000	6.50775100
0.01560000	6.50775100
0.01570000	6.50775100
0.01580000	6.50775100
0.01590000	6.50775100
0.01600000	6.50775100
0.01610000	6.50775100
0.01620000	6.50775100
0.01630000	6.50775100
0.01640000	6.41455500
0.01650000	6.41455500
0.01660000	6.41455500
0.01670000	6.41455500
0.01680000	6.32166600
0.01690000	6.32166600
0.01700000	6.32166600
0.01710000	6.32166600
0.01720000	6.32166600
0.01730000	6.22877700
0.01740000	6.22877700
0.01750000	6.22877700
